meanB,meanG,meanR,modeB,modeG,modeR,batch,concentration,image,predicted_concentration
83.99496639241389,81.06347928994082,80.07007221812822,85.34374564216985,81.23558319125465,81.79808400884303,batch2,0.0,0.0-5_batch2.csv,-0.06643770939155047
91.65778797739338,88.99829869112877,110.12292215568864,92.48158931323856,89.60733862848194,110.95456146530468,batch1,50.0,50.0-4_batch1.csv,44.528493395222654
92.06146932370943,88.28093207898273,94.32256591099916,90.38129609289189,86.52951514524966,95.71788413098238,batch1,30.0,30.0-4_batch1.csv,29.894712003680752
86.82533525632621,90.82204182981569,78.61155293622394,87.32135833224072,91.96829338172095,77.66785939802146,batch2,40.0,40.0-2_batch2.csv,40.46805554675905
91.60082100566328,81.59205583250251,98.1206728493764,94.73142268748926,83.74875373878365,100.7355292612728,batch1,10.0,10.0-2_batch1.csv,4.2676842541056885
85.75242354759759,85.94117424733673,72.6157319223986,87.33736957361846,85.8730893932376,72.89829512051735,batch2,20.0,20.0-1_batch2.csv,15.99019850192883
84.32974842767297,83.41212189616253,75.40344547759932,84.11949685534591,82.95711060948082,74.80980557903635,batch2,15.0,15.0-5_batch2.csv,9.336403978547764
95.67956101083033,89.37372723153604,109.16251872399447,95.30685920577618,89.71454463072044,113.38418862690708,batch1,40.0,40.0-3_batch1.csv,36.20533653304733
84.65528122192272,80.58115774119607,88.5649915682968,84.45642407906558,79.70410502187956,87.68971332209107,batch1,0.0,0.0-1_batch1.csv,5.527173229428058
82.67461445783132,82.45620066396164,72.32749232012937,83.58433734939759,82.99520472150498,72.75666936135814,batch2,0.5,0.5-1_batch2.csv,4.146854379900105
88.59938368397154,82.20895765942103,90.23103077349599,91.72090207355836,85.29926856907387,93.15220404768506,batch1,8.0,8.0-2_batch1.csv,4.892132082845876
89.36694520092992,80.80189226335624,96.45746060217812,92.6602457655264,83.7951673686544,99.93593850096092,batch1,0.5,0.5-5_batch1.csv,1.2407555466673443
85.60971282342905,82.44664460833168,81.195587808418,87.85897071367641,84.31333466214869,82.72859216255442,batch3,5.0,5.0-5_batch3.csv,5.232718541163081
85.52974840322135,82.11239364830428,79.44599163179916,86.64259927797835,82.92491668300333,78.10320781032077,batch3,0.0,0-2_batch3.csv,6.442158100261906
88.90706893353943,83.44374984520125,90.6150016713092,90.88098918083462,85.44891640866872,92.75766016713092,batch1,15.0,15.0-2_batch1.csv,10.72493838208294
91.85132120828722,82.57799185378592,92.05210559182517,90.14708208129052,84.59530026109661,94.52171444791372,batch1,5.0,5.0-2_batch1.csv,3.379394073094886
94.1240669456067,90.61562578334826,105.84260869565217,95.18828451882844,91.65174574753804,105.7312252964427,batch1,50.0,50.0-3_batch1.csv,47.382521948100816
83.51091607580253,83.78188082950174,71.13314297014041,84.31094495294573,84.45153420287136,71.78168874826973,batch2,15.0,15.0-1_batch2.csv,7.757409783936339
